評論者,星等,評論內容
Terence kuo,2,今天中午公司同事一起叫香港鑫華茶餐廳的便當，有乾炒牛河、鹹魚雞粒炒飯、港式炒麵、XO牛肉公仔麵、豉椒牛肉飯、咕咾魚片飯、起士奶油豬排公仔麵，大家吃完的感想：太油膩、味道普通、偏貴。
Ming-Chu Chu,4,"港式茶餐廳。
週末晚餐排隊人潮很多。需要等一下但不會太久。用餐環境跟香港很像，空間小，很熱鬧。
餐點還行，份量很足，上菜速度快。"
Patty Chen,5,永康街散步就可以抵達，餐點選擇豐富而且相當好吃，上菜速度很快，而且服務很好，香噴噴上桌好幾道菜都來不及拍照就吃光了，大推👍👍👍
imor w,4,在巷子裡的港式茶餐廳，服務態度有點好有點嚇到！東西不錯吃，但是需要跟別人併桌的
Catherine Huang,1,服務態度輕慢，食物不合口味。客人尚未離開就準備下一組人上桌，連抹布都先放在桌上，趕人吃快點說外面很多人等位
余ジー,5,"很道地的一間港式餐廳
吃很多間餐廳覺得這家味道最棒 價位也便宜 經過的可以來嘗試嘗試"
Flying Whale,4,"1. 正宗港式，家庭式，換地方乾淨明亮
2. 河粉好吃，生麵，醬料佳"
G,4,"鮮茄牛肉飯不錯
上菜邏輯第一道先來楊枝甘露😂
整體便宜 還不錯 …"
沙拉飯團,5,生意非常好，價格還算平實，味道還OK，港式薄餅、奶茶好吃，今日特餐含飲料也便宜，缺點是人多時需要併桌，但也可以拒絕排隊等位置，店家還不錯會尊重
weiwei wu,5,"快速方便，生意很好。
單點跟套餐都不錯，
價格偏高但可以接受。
有時會漏開發票需要提醒。"
Uljelje,5,平日來人也爆炸多！餐點都很道地，老闆超級熱情！讓整體用餐感受非常好！下次還會回訪！很讚的一家店！推推👍🏽👍🏽 …
W EI,4,老闆親切，還招待不錯
黃暐程,4,味道還可以，以在台的茶餐廳來說也不算貴，算平價實惠的港式餐廳，只是服務態度不太好，會趕人。
Gal Kim,4,吃了最出名的XO醬炒光仔麵，覺得以港式來說味道偏淡，但優點是牛肉很軟嫩；蘿蔔糕屬於偏軟、一夾就散，味道很不錯。
許達達,4,"出餐速度很快
服務態度很香港🙈 …"
mingfu wu,4,"星期日 下午五點來用餐 大概4成用餐客人 不用等待
點了
「生炒牛肉飯」 口味偏鹹，飯粒分明
「餐肉蛋豬排飯」半熟蛋+火腿肉+豬排（口感嫩，好吃）+充足的飯量。適合初次點餐的經典菜色。
「檸檬紅茶」也就是凍檸茶，半顆新鮮檸檬，紅茶味重，夏天喝開胃解渴。
「沙爹牛肉豬仔包」 假日限定，麵包口感不錯，適合嘗鮮，不適合正餐。

整體來說，值得一來。
平日下午時段14:00-17:00還有超值特餐。"
lee Joyce,3,"配鹹蛋感覺蠻怪的，已經很鹹了 還加鹹蛋
加荷包蛋比較好吧
搬家後價位調整"
AMG,4,推午茶時間來吃港味，品項多，點心、正餐咸宜；川貝杏仁茶濃郁、臘味蘿蔔糕好吃，價格不算便宜但不算貴啦
羅羅,5,"位置很多也沒客滿
不太懂為什麼要把不認識的客人安排坐在同一桌
超怪欸"
D “滴嘻” C,4,從搬家前吃到搬家後，蠻好吃的，還是一樣推起來，讚👍
洋洋菓子,5,真的很棒，有帶小孩過來，店員連忙中都還能注意到小孩子的狀況貼心到讓我驚訝！ 真的很棒
黃建興,5,就是好吃的餐廳，挑對時間，就不會排隊太久😎 …
しずか,5,西多士偏軟，主食調味都偏重，店員都是香港人
Helena Lin,5,三不五時帶朋友來的寶藏餐廳。每個餐點都好吃～老闆也很Nice~
Yiwen Chen,5,"台北目前吃到覺得最道地的港式茶餐廳
老闆很客氣、餐點好吃、如果有賣早茶就更好了😋"
Henry HUANG,4,"【好好吃】
利用出差台北的空檔，拜訪鑫華茶餐廳，它是目前心��中台北茶餐廳最具港味的一家，一進門聞到那個煮茶的味道就想起當年流連茶餐廳的青澀回憶。今天工作會議結束需要補充大量食物，一口氣叫了老火湯、蝦米腸粉、干炒豬排公仔麵、咖哩、餐肉蛋三明治、腐皮捲、花生奶醬多士、蓮蓉包、蘿蔔糕、撈麵、鴛鴦、鹹檸七... 菜色簡單，口味地道風味十足，用心體現在每道菜色裡面看得見。

本日心水：腐皮捲、花生奶醬多士

你說怎麼照片只有幾張，因為肚子餓啊！ 來不及拍就吃完了啊！

台北市大安區金華街126號
香港鑫華茶餐廳"
Joyce喬絲絲,5,"目前餐點完全無雷，尤其大推公仔炒麵
餐廳在靠近廚房最裡面的位子稍微熱了一點點"
Koala Chou,5,食材很新鮮、份量十足，真的很好吃，下次會記得要點知多士跟其他好吃的料理🫰加上一進門就被老闆熱情招呼，獲得美好的用餐感受❤️
Wei Anita,4,第一次來吃，入店時店員會依據人數直接告訴你坐哪桌，港式炒麵（160元）的料還滿多，有魷魚、蝦仁、肉片、鮑片還有青菜，麵就是廣炒的略帶脆口感，醬料味道比較甜，可以加點桌上的辣椒，避免吃久太膩。檸檬蜜（75元）的蜂蜜算足，所以也有點甜，會附2～3片檸檬，要稍微把檸檬味道戳一戳混進去會比較剛好。
林立文,4,"果然是名店！
一到現場就大排長龍，不過翻桌蠻快，大概等15分鐘可入座，人聲鼎沸。
傍晚菠蘿油、西多士都賣完了🥲
蠔油芥蘭新鮮入味、干炒豬河鑊氣十足、最厲害的是福建燴飯，料豐味美，而且竟然是長米炒飯做底，味道搭配很棒，好好味🤤"
Meiya Kuo,5,"由於上次拜訪香港已經過了10幾年，且當時年紀小無法判別這間的味道夠不夠港式，但我點的乾炒豬肉河、煎腸粉跟菠蘿油都很好吃。
從進餐廳店員幫忙開門、引領入座，叮嚀天氣熱可以先喝點水再點餐，服務態度只能用賓至如歸來形容，有機會會再度前往消費。"
pinky lin,5,"回台北必吃的港式茶餐廳！
個人覺得是少數台北正統的茶餐廳。"
Randa Huang,4,簡單美味的餐點，但是用餐時間 人多，老闆頻繁收東西的動作，讓用餐的客人壓力很大！！
islion Winter,5,吃了十年有，味道保持ㄧ致，服務態度也是，不囉唆的香港服務。最喜歡乾炒牛肉河粉，再來ㄧ杯鹹檸檬七喜。
Brian Lu,5,"IG : brian9898
來自香港朋友也說味道跟香港一樣。
Friends from Hong Kong also said that the taste is the same as Hong Kong.
乾淨、上菜速度快、口味道地、想念香港的時候就來吃一趟。
Clean, serve fast, taste delicious, and come to eat when you miss Hong Kong.
#擋不住的蛋蛋 #夏日炎炎 #凍鴛鴦 #餐肉蛋豬排飯 #想念 #港式好味道 #港式美食 #食在好朋友 #台北美食 #prettyegg #Spam #spamwithrice #coffeewithtea #foodiefriends #yummy #delicious #HongKong  #taipei #Taiwan #Viewtaiwan"
Terry Chou,5,"很港式的港式飲茶
速度都超快
上菜超快
點餐超快
翻桌率也超高
價格不算貴
味道也不錯跟想像的差不多
綜合比起來比茗香園便宜一點
味道感覺蠻接近
看需求如果是要慢慢吃得話還是吃茗香園
如果是中午速吃的話還不錯"
Ai Chi Wang,4,"➰店內用餐空間不會擁擠
➰餐點的選擇很多，什麼都想吃
➰附近停車位難找，建議搭乘捷運再走路過來
➰凍檸茶很夠味，推推"
来如春风去时如梦,4,"朋友說尚可，但在我心中覺得還好
不雷，純屬口味是我個人不喜歡
但是上菜速度很快"
Yun H,5,凍檸茶、XO醬炒蘿蔔糕跟撈麵都不錯吃！老闆是香港人唷～味道還算挺道地的！
hs Chen,5,在地人情味滿滿的老闆，來店裡記得和老闆說上一二句話，保證可以體驗到道地的港式幽默，快搬家了記得快來吃
Hsueh-Han Lu,5,"激推！
週日晚間去小排了一下不過完全值得（其實很不想這樣講怕以後人更多...
食物口味是吃過的港式最會想回訪的，調味恰到好處不會太重讓人有負擔，辣椒也好吃！

服務也很優啊不像其他評論說的，遇到的小哥耐心說明菜單，客人離開也都很有禮貌，店內超忙還可以耐心面對客人推！"
馬克啵,3,東西還可，但最後那個推薦的花生味腸粉不是很喜歡
Suzanne Ho,4,週邊工作的朋友都推薦來這兒用餐，味道不錯。運氣很好，沒有等待就進來用餐了。
林妙妙,4,今日特餐咖喱海鮮麵，麵條不爛，海鮮料是發魷魚、蝦仁、鮑魚片，發魷魚居多。整體吃起來是帶有淡淡咖哩味，想要湯頭更濃郁，桌上佐料辣椒醬是一絕，非常推薦加一匙，胃口大開。
張慧玲,5,蒸排骨很嫩很入味🥰紅豆蓮子露不膩口，好愛這道甜點❤️❤️❤️
詹存勤,5,很道地的港式餐廳，老闆人超好最後還送我們奶皇包XDDDDD
陳相如,5,餐點很好吃，份量也不少，上菜速度非常快，吃完也會立刻收拾空碗盤，和加水
秦國基,3,生意超好的茶餐廳，基本上味道都不錯，但有時品質個人認為比較不穩定。可以給3.8分。
Thiat-uí Lâu,5,"道地的港式飲茶，連店員也都是香港人👍
XO炒蘿蔔糕超好吃（大推～ …"
王志毅,5,在精華區的茶餐廳，可以嘗嘗鮮。「煎腸粉系列」可以不用點，較無特色。
蔡鮭魚頭,5,"來不及多拍幾張，店內很有香港大排檔的感覺，也是看評價不錯來吃的，老闆好像是香港人（？
口味蠻道地的，也沒有典型港點的過多油膩感，平日中午就蠻多人的，上菜速度卻蠻快的，很不錯，老闆也會看一下你吃的狀況再上甜點
下次再來嘗試其他點心！推推"
劉瑞騰,5,外觀也許不是那麼起眼，但絡繹不絕的客人絕對是有其獨到之處。菜單的五花八門每樣都想嚐嚐，最後由朋友點了菜，這天之最首推xo 醬蘿蔔糕，微辣的味覺再由鬆綿蘿蔔糕包覆起來很是滋味。港式奶茶也讓沒去過茶餐廳的我多認識一次港式體驗。服務態度極佳雖然有些口音但已經被熱情融化了。我想我還會再來拜訪，把菜單的美味都品嚐品嚐。
Ethan Chao,5,素食可，好吃的港式料理。今天點素炒飯、素公仔麵。另外建議點咖啡口味的鴛鴦奶茶。
Ya-chu Cheng,5,餐點道地、平價，用餐時間人超多，但上餐快速，不會等太久，服務親切、乾淨，推薦蝦米煎粉腸很特別可試試！每日有四種特餐，附75元飲料很超值！
黃芳（Minnie）,3,"味道滿道地，但可惜沒有熱茶喝
口味蠻重的，翻桌率很高。下次想試下午茶特餐"
ian Hs,4,各項菜色味道還不錯，飲料仍然稍貴(港式茶餐廳)的特點。黃金蝦好吃。
Melinda liao,5,"炒牛河很好吃，比其他知名的港式餐廳不油膩，其他餐點也都非常道地。
奶油菠蘿的奶油非常厚，很喜歡😂 …"
潔淨家,4,"人潮雖然很多，但是很快就有位子可以坐，出菜的速度也是非常的快速， 口味也不錯 是值得 來品嘗的好地方。

不過很多餐點都已經賣完了實在是非常可惜建議來用餐的朋友們盡量早一點。"
Beini,5,相見恨晚的港式茶餐廳！ 幾乎每樣都很好吃。 蝦皮煎腸粉以前沒吃過很特別。咖哩排骨味道都很喜歡，一下就沒了。老闆是香港人，熱情。 乾炒牛河的牛肉略有不新鮮的感覺，但是不太確定，還是很好吃。蘿蔔糕比較普通。
James Huang,3,"應該是經過口味調整，整體比較清淡
即時沒有等待客戶有空位下，仍是很急著收餐盤，用餐給人很大壓力"
C.Y,2,沒特別好吃，餐點也比外面港式餐廳貴些，才剛坐下來看菜單，服務員就一直問要點什麼，很急一樣，看評價這麼高覺得差距很大，會失望的一家餐廳。
Yihsin Yeh,5,每當想吃素炒飯，又不想花大錢去鼎泰豐，就會去這家餐廳享用。雖然口味比鼎泰豐稍油，不過炒飯粒粒分明又輕盈，配上店裡自製的辣醬，10 分鐘就可以完食，而且每次去都會搭配不同的蔬菜，推薦給喜愛港式飲食的蔬食族。
Jasmine,5,道地港式，但腸粉很不划算勿點，和其他有名港式餐廳相較下口味少油健康，可以先留意白板上的每日特餐比較划算
KENKEN,4,咖哩綜合非常好吃 大推!  尤其蘿蔔 很入味超讚。 算當地很有人氣的店家，人感覺總是很多，但老闆安排的很有規則 所以不會有很混亂的感覺，下次會再試試甜點
YOKO SHEN,5,"生意總是很好 店內服務依然親切
每次來必點牛河加辣椒
特色Xo炒蘿蔔糕也很熱銷哦"
Lange,4,"環境乾淨明亮整潔，雖然份量不算多但好吃

辣要斟酌加，滿辣的🤣
臘味蒸雞飯150元"
Wu Ker Shing,4,又漲價了，港式炒麵普普，鹹魚雞粒炒飯口味太淡，店內環境乾淨，但稍微擁擠
Sea Wu,5,不錯吃！有簡餐、點心還有甜點！
Kevin Yeung,5,"餐蛋麵
係餐廳最基本嘅菜式
但同時又係
感受依間茶餐廳有冇用心嘅最好菜式
·
如果餐肉過厚過薄
如果餐蛋唔起金邊
如果碗麵過軟過硬
咁不吃也罷
·
以上很難做到嗎？
其實不難
要用心和花時間就是了"
Jastin Chiang,5,"很道地的港式茶餐廳,每道菜都好吃,奶茶夠味好喝,餐桌上菜及收盤都很快,服務態度也不錯,8月23日剛搬到重新裝潢的永康街新址。"
貪吃鬼阿比,4,味道不錯，覺得整體比許多在台港式餐廳作的道地點。餐肉豬扒飯油膩了點，配鹹檸七ok~ 公仔麵還不錯，麵體不會太硬我喜歡，如果加點綠葉搭配更好. 上菜速度超快！
chen johnson,5,整體來說不錯，也吃了不只一次，但麵條常常表現得不是很好，會硬又帶點潤，照理來說應該要硬中帶脆，但這價位已經不錯了 😄 …
黑咪,4,吃了10幾年，比較喜歡舊店的空間。裡面有2位服務生，一男一女，熟面孔了，態度很好，會跟客人招呼寒暄。新年第一天的用餐很開心，餐點好吃。
Anjou,1,"飲料裡面有蟑螂⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯更何況這杯要八十欸？
老闆娘只是想打發我，說是最近在消毒蟑螂比較多啦呵呵💀💀有夠傻眼還跟我說「這小隻的」
幸好你今天遇到的是我沒有跟衛生局舉報你，不然你生意最好還做的下去，是可以在誇張一點 …"
KK溶,5,道道都好吃，上菜快速，服務人員親切
成天樂《 10級在地嚮導 》,4,"XO醬牛肉公仔麵，鑊氣十足，勁道彈牙，可惜牛肉肉質不大穩定，部分軟嫩，部分則是略為乾柴。

港式奶茶頗具水準，口感濃郁滑順，並帶有強烈茶感，適合餐後來上一杯。"
Beite Chu,4,CP值很高，味道也不錯。但是有點吵，坐在裡面油煙味略重
Ada chen,5,"好吃！推推👍🏻👍🏻👍🏻
服務很好，餐點很快速
環境乾淨整潔"
Chialing Lu,5,是一直以來的愛店，味道乾淨好吃！
李載宇,4,"空間不大,祇能排隊,等了10分鐘,環境乾淨,服務親切,菜色簡單但好吃,價格也不算貴;其中蝦米煎腸粉清爽不油膩(沾了醬的味道更可口);
此餐廳祇能現金支付。"
Jessica Ho,5,餐飲口感道地，每道菜都很好吃，CP值極高，會想再度光臨👍👍 …
王俊霖,4,"香港人開的 口味略微台化但還是不錯吃
連點餐時候給的的壓力也很相似😂
出餐也是超快
整體來說還不錯 …"
OHIAMGOOD,5,"蝦米煎腸粉，不常見的煎腸粉，微微有點油煎膩感，吃起來味道跟煎蘿蔔糕很像，口感則是外側更脆，內部比較細而不是黏。

芝麻糊奶酪，這不推，芝麻糊很稠不過味淡，奶酪滑順但也沒什麼奶味。"
CHUN-TIEN HU,5,在台灣難得吃到這麼道地的港式餐廳，所有的食物跟店員們給的的感覺像是到了香港。
胡凱婷,5,"楊枝甘露很濃郁，不會過甜
炒麵味道很香，麵體也很好吃"
Shao-Chin Huang,5,平價且道地的港式餐飲店，店內用餐環境寬敞舒適，服務態度佳，各項餐點也都相當美味。
汪汪,1,平常不會特地評論，但真的蠻難吃的。幫大家避雷 好人一生平安
Cecil Tseng,1,"【唯一沒變的，大概只剩香港口音】

店面遷了、價格漲了、份量少了、用料減了、味道走了、我猜掌廚的也都換人了吧？

這些都算了。不能忍的，是這份「創意料理」：福建燴飯（炒飯）。
驚不驚喜、意不意外啊？碗裡不但不是「蛋炒飯」，還多了塊地瓜耶？？？
把這份創意料理端給你師傅試試，看他會不會氣到把你逐出師門，呵呵。"
Rex,5,店內有46個座位，環境乾淨，服務態度好，食物很好吃，推薦特式鴛鴦，還有牛河
Alan,4,"「綜合咖哩」「蝦米薄餅」「臘味蘿蔔糕」都好吃

「油菜加豆腐乳」還好

「炸豬排」裹的麵粉有微微的香味，很特別。「招牌奶茶」是港式、茶味非常濃郁的那種，好喝

「紅燒魚片飯」味道很淡，魚片裹的粉很厚

店裡只有免洗餐具，很不環保"
Nene Pan,4,港式炒麵沒有看起來好吃，餐點裡面的牛肉豬肉都很嫩很好吃，飲料不會太甜很👍，朋友很喜歡餐肉三明治，沒有吃到豬扒包好可惜，很多人覺得服務差，但我覺得服務美賣內！ …
Yuting Hsu,5,"本身多次造訪，近期才得知，學姐的好友也是忠實饕客。原則上無雷，煎蛋和餐肉是相對比較油膩的品項，但我吃剛剛好🤣若怕油可以點蒸飯類，配熱奶茶。
補照片2023年1月

「最初，冰室開始提供廉價的仿西式食物。冰室當時主要提供咖啡、奶茶、紅豆冰、三明治、吐司等小吃，但不售賣飯菜。部分設有麵包工場，生產菠蘿麵包、蛋塔等[5]。第二次世界大戰後，香港人受西式飲食風俗影響日甚，加上勞動人口大增食客需求改變，冰室提供的食品種類逐漸增加，開始結合西菜館和餐室的模式[13]，演變成為今天的茶餐廳，提供簡易的粵菜、歐美食品及香港本土食物，較大規模的會供應晚飯小菜[14]。
在1955年於中環中華總商會大廈開業的蘭香閣茶餐廳是最早以茶餐廳之名經營的餐館[15]，1956年於銅鑼灣啟超道八號開業的劍蘭茶餐廳強調自己既高貴又經濟[16]，而在1952年開業的蘭芳園（最初為茶檔，後改持俗稱「大牌」的餐廳牌照轉型為茶餐廳）[12]可能是香港現存最古老的茶餐廳[來源請求]，也有說法認為於1950年在油麻地開業的美都餐室是最早的茶餐廳[17]，但有一說法稱當時的衛生局在1960年才設立「茶餐廳」牌照。有別於冰室只可提供有限的食物種類，主要是小吃，而茶餐廳牌照持有人則可售賣即做的熟食，如各式飯菜。位於香港仔東勝道的漁利泰茶餐廳申領了首個茶餐廳牌照，開了全港首家持該類牌照的茶餐廳[18]。（節錄自維基百科）」

知名香港女星曾經和知名日本大型經紀公司的男藝人拍拖，並且買了原味腸粉拿到自小客車裡面給男藝人吃。在紀念知名香港女星的電影中有這樣一個畫面，很引人動容。我每次去茶餐廳的時候，都會想起香港女藝人是怎麼樣的呵護那一盒原味腸粉，只是想要給喜歡的男性一個熱呼呼的飲食體驗。那是他小時候最開心的回憶美食了吧。"
CK,3,"1997後，移民來台灣者眾，
「鑫華」、餐點算是道地港味，一餐下來真的油膩，好吃😋。再來嘍 …"
Sammy Yang,4,原來在金華街上的老派港式茶餐廳，現在搬到永康街的後段，也就是金華街和和平道路之間的路段，一如過往，鑫華保持著很好的「鑊氣」，那是從爐火到餐桌的速度與時間的掌握，也是師傅翻炒功夫的體現，乾炒牛河是最能表現這種功夫的料理，牛肉要滑嫩，河粉要炒散不粘，味道要均勻到位，同時，最重要的是，看起來油亮，盤底卻不留油，鑫華的基本達到，顏色再深一點點就更好了！附帶一提，他的自製豆豉辣椒好好吃，不過，蠻辣的，慎入。
張吉爾,5,吃好幾年的愛店，主食類都不錯，最喜歡特餐還能喝一杯奶茶來結尾，覺得滿足！
二馬,5,真的很好吃。上菜迅速，服務好，外帶提前訂餐。
Steven Chao (咖哩獨角獸),3,"餐點味道比想像中好
不會過重的調味，價格也適中
飲料十分可怕，建議不要點
菠蘿油是冷的，不喜歡"
Zhou Hong Yu,5,價格實惠，覺得味道蠻道地。份量也還算夠，法蘭西多士內餡是花生醬，熱量算蠻高的。
Maggie,5,這間道地的港式茶餐廳，是看評論慕名而來試試，點了XO牛肉公仔麵，雖然160元並不便宜，不過還好口味真是不錯，也算值得。看到別桌點的冰火菠蘿，忍不住也點了一份，整塊奶油夾在菠蘿裡，吃起來不會太膩味，50元的菠蘿包這也算是我在台北吃到比較道地的香港口味了！這兩道都蠻推薦的喔！👍👍👍 …
陳柏翰,5,"腐皮酥肉 很脆蠻驚艷的～
法蘭西多士也不錯！"
Saya Huang,4,奶油菠蘿包算滿大的，但是裡面夾的奶油不夠多，所以吃起來感覺是吃菠蘿麵包而已，揚州炒飯 & 港式炒麵 吃起來都普普，服務很好，也會隨時來收走空盤，沒吃完的餐點也會關心是不是不好吃、不合胃口
汪汪仔,4,"餐點都不錯吃，份量也滿足
CP.值算中等"
Yan Yan,4,"整體味道都蠻道地，而且價格不高～份量蠻多的，煎豬腸粉跟士多士好好吃！每天都會有特價的餐點搭配飲料才160元，蠻划算的，週末去排隊的人很多，但換桌率高，所以不用等很久就可以入座，不過相對的，在用餐時店員會不斷的監視你是否有已經用完的餐盤，一發現我們有貌似吃完的餐盤就會立馬上前想將餐盤收走，用餐過程大概店員有試圖想收走還未用完的餐盤十次吧，這會造成某種壓力讓我有點像被逼著吃🤔
除了一直想收走餐盤外其他都還能接受，畢竟港式茶餐廳本來就不要求服務品質（而且店家服務態度我覺得已經算好了）整體cp值算高，我還會想再訪！"
Amanda,5,"-蘿蔔糕：外酥內軟，吃得到臘肉香氣
-橙花雞排飯：推薦一定要試試，酥脆外皮搭配多汁雞肉，份量也很足，淋上醬汁酸酸甜甜的口感很獨特
-凍檸茶：道地，好喝～"
艾森豪,5,"從金華街搬到永康街，還是一樣好吃
鹹檸七真的很棒"
geo Liao,5,"老闆跟服務員都好可愛
且孕婦友善，看到孕婦特別給較大的位子"
Willie Chan,4,"還不錯！
蠻好吃的～
就是份量不是到很多
可能要多點個小東西會吃的比較飽
價格還行
算是偶爾可以吃一下的餐廳🍴"
Yu Chen Zhu,5,"蘿蔔糕推推好吃😋
牛肉炒河粉❤️
大推雞煲湯～真的太好喝 …"
L,5,"牛肉河粉好吃！！會再二訪ㄉ店
翻桌率快～"
JUN YOU LIN,4,"豬肉咖哩 好吃豬肉非常滑嫩 咖哩微辣有勾芡微黏 加青椒很有趣

法蘭西多士 普通

豉汁排骨炒麵
難吃 面很硬 不知道是忘了水煮還是本來就這樣 給的肉好像是控肉塊"
陳塔克（TAKOKING）,3,雖然和香港吃的味道仍然不太相同，但口味比較偏台式還不錯吃!
yutung yen,5,"很道地的港式的感覺👀
乾炒牛河 西多士跟限定的奶酥流沙卷
都超好吃🤤"
Jonathan Wu,5,"道地的港式料理的味道，食物稍微油。
老闆會親切的跟用餐者互動。"
Charli Bobolici,3,餐點普通，可能是網路跟評價說得太誇張，蘿蔔糕也沒有很香的xo醬味，餐廳氣氛良好，老闆非常親切有趣
Hugo Kuo,5,貨真價實的老店！許多年沒來了，但味道依舊。👍
魏德榮,5,"超好吃的港式茶餐廳
老闆人很和善
餐點好吃的沒話說
讚👍 …"
Wing LU,4,"蠻喜歡他的XO蘿蔔糕和蝦米腸粉，凍檸茶調味的剛好，不會太甜，也有檸檬片。
唯一可惜的是XO牛肉公仔麵味道跟想像的不一樣，沒有什麼XO醬的味道，反而有一股中藥味。
餐廳空間不大，兩個人用餐，被排在靠近樓梯旁，工作人員經過放物品時，客人必須要起身，稍微不太方便。"
Ziing Wen,5,"搬新家變明亮乾淨
老闆和員工服務態度親切
出餐速度很快
東西一樣道地好食
每天高朋滿座"
leo chen,5,不只好吃道地，也是大安區服務最好的茶餐廳
Phillip Enzo,4,法蘭芝多士配上奶油及花生醬香甜好入口，奶茶也濃醇好喝。
Yi-Ting W,2,真的衰點到店內最雷商品：「潮州四寶湯米線」，事先還問了店員這裡面有什麼，店員回答：「有四種海鮮」殊不知就是清湯米線加四顆丸子賣130元，氣到！其他品項還可以
Connie Ma,2,"公司三文治長這樣 Ummmmm...沒有生菜也沒蕃茄...這不就是火腿蛋吐司了嗎？

餐蛋豬排飯也是普普，下次不會再點

西多士花生醬少到我以爲我在吃糖漿吐司"
Ting Tseng,5,"奶油起司豬排公子麵140$
超好吃❤️

*主食3.5份
*豆魚肉蛋2.5份
*蔬菜類1.5份
*油脂類4.5份
*全脂奶類0.5份
*總熱量約750大卡"
Ann,3,楊枝甘露與法蘭西多士很「微妙」，其他都好！
Ethan Tseng,5,蘿蔔糕屬於相當軟爛 有點難夾的那種 食物算是好吃不會太貴
a901922001,5,吃過最好吃的港式 炸豬排帶甜味
Jenny Lin,4,常來用餐口味還行，主食價格約100~150，若多人建議可點熱炒，選擇很多出菜快。
WCX,5,天吶食物很好吃之外店員、老闆人都超好🥹❤️一定會再回訪🥹！！
張豆豆,5,意外發現很道地的香港茶餐廳，老闆本身是香港人很親切，店內員工也很親切，餐點真的都很好吃，大推👍🏻👍🏻👍🏻
蓁（Jessie L）,5,"店員服務態度很積極～在各桌巡視倒檸檬水XD，一吃完餐盤也很快就幫忙收回去，也會提供籃子讓客人放東西。
餐點份量充足，通常是吃得飽，這次點了干炒牛肉河、滑蛋牛肉飯，牛肉非常軟嫩，炒河粉調味比較重且香，並加入洋蔥、豆芽菜，滑蛋牛肉飯則是偏清淡，加入綠色蔬菜；兩者吃起來各有千秋，但是都很好吃！"
Kelly,4,"乾炒牛河超好吃🥺 是我會回訪的原因
多士..個人覺得普通，可能是我點錯口味
特式鴛鴦不錯喝！ …"
Boying Lu,5,真正道地的港式茶餐廳，料多實在又好吃😋
syuu,5,"和香港老婆結婚十年專評港式餐廳。這家真的好吃😋

滿分10分
特式鴛鴦 10分（香港人說很道地很神
港式奶茶 9分（幾乎贏過台灣大部分的港式奶茶
臘味蒸飯 11分（神⋯這輩子吃過最好吃的臘腸
蠔油牛肉撈麵7.5分（香港人說道地很好吃，如果有配上湯就完美
雞蛋三明治 9分（也是神！超好吃
菠蘿油 8分
蛋撻 7分（有附香港的果醬很特別"
黃心妍,4,服務態度親切，出餐速度快，氣氛輕鬆，整體感受良好。
Roy Yuan,4,金華街很夯的茶餐廳，乾淨，座位稍擠，服務人員親切勤快。餐點都不錯吃👍
雅文,5,"我一定要再來
餐點好吃 服務親切
值得推薦 真的"
DK,5,人一般很多，中午需要排隊10-15分鐘，奶茶好好喝！港式炒麵有點一般
L,2,"很乾的店

豬排餐肉蛋飯 ：
豬排很乾柴，餐肉很鹹是好下飯，飯超乾，乾到吞不下去那種..

XO牛肉炒公仔麵 ：
很乾，牛肉乾，麵也吃很乾，不油膩是功力，但麵炒太乾吃起來很辛苦

法蘭西多士 ：
蜂蜜給很多，終於不乾了

我有個同事點炒飯說太乾完全吃不下去"
林亞琴,1,上菜快速，但暗示性的趕人動作讓已經買單的我們很不舒服，知道店家想翻桌率快，但不需要那麼明顯趕人走。
Singing,3,"湯麵的牛肚覺得有點酸酸的，
挑在旁邊沒吃，店員有來詢問，算是服務不錯，但就可能不合我胃口。
中午14:00休息，但12:45就在你附近打掃，感覺不是很好。
還有個店員口罩不戴好，還一直在你附近講話，也讓我害怕的想趕快逃走。
店員有問我要不要換其他餐點，我說不用（我只想趕快回家），結果送給送來兩顆荷包蛋！？還幫我用盒子包外帶。"
食癒（Foodtherapy）,5,"2023/4/19

鄰近師大校區的必吃美食呀！
這家港式茶餐廳相當道地，店內環境乾淨明亮、餐點選擇多樣、價格也很平實，不過尖峰時段人潮很多，需要排隊或與其他客人併桌，甚至能感受到店家急忙收走餐盤、趕著換下一組客人的態度。

私心推薦「法蘭西多士」，配著奶油及內層花生醬，其口感綿密、真是絕配的美味～"
李G.H,4,第一次來 菠蘿油就收買我了 下次要來喝煲湯
少林廚藝食神,5,道地香港人開的店，味道正宗
Ken Chang,5,店員都很親切，動作非常快，食物好吃
Feng shin Sung,1,不友善帶孩子的客人 已搬家3次本來很期待去吃 但應該不會再光臨了 態度很糟糕 好像帶孩子去吃很不對 被吼要收娃娃車 而且現在價目表都未有價格 不知道定價多少 感受極差
楊螢姍,3,"XO醬乾炒牛肉公仔麵，意外的鹹度稍嫌不足（好事）份量也很大，公仔麵很剛好的軟硬Q度。雞湯是中藥味雞湯，只有一塊小雞腿要價90太貴！
約莫5:45用餐，不算尖峰時間，離開時還有空位，但店員一直盯、一直問用膳完要收盤收碗，慢慢吃吃完剩一口就立馬來問，打斷用餐節奏，感覺很差"
Arthur Wu,4,乾炒牛河，揚州炒飯，蘿蔔糕好吃，招牌奶茶好喝，價格實惠，值得一訪
